"","fullPotID","plantRep","plantID","hostVar","potID","RNASeq","totSpikelets","disS.d7","disS.d10","disS.d14","disS.d17","head.mass","Notes.x","bacteria","Fusarium","microTrt","block","disPerc.d7","disPerc.d10","disPerc.d14","disPerc.d17","DON_area","forecast","x5","weight_g","ugDON_per_g","Fg_gm","Ta_gm","FgTa","failed_yn","Notes.y","AUDPC","DON_per_Fg"
"56","A32-Q22-F+","5","32-5","Alsen","32","NO",21,1,1,2,2,2.54,NA,"Q22","YES","Q22","2",4.76190476190476,4.76190476190476,9.52380952380952,9.52380952380952,19981,1.904221799,9.521108997,0.49,19.43083469,0.000763838,0.000888462,0.859730232,"","",0.0714285714285714,21.3588974033348
"57","A33-W14-F+","1","33-1","Alsen","33","NO",20,1,5,8,12,2.21,NA,"W14","YES","W14","2",5,25,40,60,252423,13.50707507,67.53537536,0.5,135.0707507,0.002990095,0.001325723,2.255445151,"","",0.325,58.5877094674806
"58","A33-W14-F+","2","33-2","Alsen","33","NO",25,3,6,9,13,2.93,NA,"W14","YES","W14","2",12,24,36,52,161118,10.44513278,52.22566389,0.53,98.53898848,0.001152674,0.001085224,1.062153508,"","",0.306,88.6019670586697
"59","A33-W14-F+","4","33-4","Alsen","33","NO",22,5,12,16,18,1.46,NA,"W14","YES","W14","2",22.7272727272727,54.5454545454545,72.7272727272727,81.8181818181818,584125,28.51980896,142.5990448,0.48,297.0813433,0.00704759,0.00112478,6.265748794,"","",0.602272727272727,47.0381823264138
"60","A33-W14-F+","5","33-5","Alsen","33","NO",21,2,6,13,19,1.18,NA,"W14","YES","W14","2",9.52380952380952,28.5714285714286,61.9047619047619,90.4761904761905,665222,32.19023506,160.9511753,0.5,321.9023506,0.005745352,0.000733892,7.82861196,"","",0.466666666666667,40.8577490850305
"61","A35-B-/-F+","1","35-1","Alsen","35","NO",20,1,1,2,2,3.3,NA,"NO","YES","POS","2",5,5,10,10,16379,1.727137384,8.635686918,0.52,16.60709023,0.000559415,0.000653991,0.855385585,"","",0.075,18.3425608990671
"62","A35-B-/-F+","2","35-2","Alsen","35","NO",20,1,3,4,4,3,NA,"NO","YES","POS","2",5,15,20,20,39219,4.237875856,21.18937928,0.51,41.54780251,0.00088332,0.000652979,1.35275567,"","",0.16,29.6187022434206
"63","A35-B-/-F+","3","35-3","Alsen","35","NO",21,1,4,5,5,2.92,NA,"NO","YES","POS","2",4.76190476190476,19.047619047619,23.8095238095238,23.8095238095238,26294,2.905857409,14.52928705,0.51,28.48879813,0.001106648,0.001194347,0.926572259,"","",0.192857142857143,29.1722377606469
"64","A35-B-/-F+","5","35-5","Alsen","35","NO",20,1,4,5,6,2.81,NA,"NO","YES","POS","2",5,20,25,30,24448,2.715613228,13.57806614,0.49,27.71033906,0.000886853,0.00216846,0.408978292,"","",0.21,60.3739643965558
"65","A36-Y108-F+","2","36-2","Alsen","36","NO",20,2,2,4,4,2.73,NA,"Y108","YES","Y108","2",10,10,20,20,13862,1.603394609,8.016973045,0.5,16.03394609,0.001288138,0.001787582,0.720603826,"","only one rep across 12 reps from 3 primer sets",0.15,20.8069899850199
"66","A36-Y108-F+","3","36-3","Alsen","36","NO",21,1,1,2,2,3.93,NA,"Y108","YES","Y108","2",4.76190476190476,4.76190476190476,9.52380952380952,9.52380952380952,15094,1.663963182,8.31981591,0.51,16.31336453,0.001186831,0.001369695,0.86649302,"","",0.0714285714285714,17.7997695279774
"67","A36-Y108-F+","4","36-4","Alsen","36","NO",20,1,1,1,1,3.36,NA,"Y108","YES","Y108","2",5,5,5,5,7729,0.942184049,4.710920244,0.52,9.059462008,0.000969301,0.001000656,0.968665256,"","at least two reps across 12 reps from 3 primer sets",0.05,8.89346323990067
"68","A36-Y108-F+","5","36-5","Alsen","36","NO",20,1,1,1,2,2.5,NA,"Y108","YES","Y108","2",5,5,5,10,21684,1.987946053,9.939730263,0.5,19.87946053,0.0010693,0.001048455,1.019881788,"","",0.0575,18.5809878745221
"69","A40-A30-F+","1","40-1","Alsen","40","NO",20,2,7,8,11,2.17,NA,"A30","YES","A30","3",10,35,40,55,142377,9.373716367,46.86858183,0.51,91.89918007,0.001469195,0.00083462,1.760315769,"","",0.36,50.7641714466003
"70","A40-A30-F+","2","40-2","Alsen","40","NO",20,1,1,1,1,3.14,NA,"A30","YES","A30","3",5,5,5,5,5551,0.779140354,3.895701769,0.5,7.791403539,0.000895987,0.001246805,0.71862613,"","",0.05,10.1367924337935
"71","A40-A30-F+","3","40-3","Alsen","40","NO",19,1,2,3,4,2.49,NA,"A30","YES","A30","3",5.26315789473684,10.5263157894737,15.7894736842105,21.0526315789474,24333,2.703761613,13.51880806,0.5,27.03761613,0.001120572,0.001370858,0.817423983,"","",0.131578947368421,31.1700121969074
"72","A40-A30-F+","4","40-4","Alsen","40","NO",18,1,3,4,4,2.42,NA,"A30","YES","A30","3",5.55555555555556,16.6666666666667,22.2222222222222,22.2222222222222,19847,1.897633984,9.488169919,0.5,18.97633984,0.001006356,0.002524751,0.398596254,"","",0.177777777777778,42.3016012077533
"73","A41-B-/-F+","1","41-1","Alsen","41","NO",20,1,3,4,4,2.71,NA,"NO","YES","POS","3",5,15,20,20,20636,1.936423435,9.682117176,0.51,18.98454348,0.001456338,0.001488101,0.978655268,"","at least two reps across 12 reps from 3 primer sets",0.16,18.4556907163965
"74","A41-B-/-F+","2","41-2","Alsen","41","NO",23,0,0,1,1,3.6,NA,"NO","YES","POS","3",0,0,4.34782608695652,4.34782608695652,4426,0.694923569,3.474617847,0.49,7.09105683,0,0.001972002,0,"yes","failed qPCR",0.0217391304347826,141.8211366
"75","A41-B-/-F+","4","41-4","Alsen","41","NO",20,1,1,1,2,3.45,NA,"NO","YES","POS","3",5,5,5,10,9953,1.576508863,7.882544317,0.52,15.15873907,0.00101937,0.001454812,0.700688708,"","at least two reps across 12 reps from 3 primer sets",0.0575,20.1931092188481
"76","A41-B-/-F+","5","41-5","Alsen","41","NO",23,3,7,15,18,1.85,NA,"NO","YES","POS","3",13.0434782608696,30.4347826086957,65.2173913043478,78.2608695652174,426812,21.39986936,106.9993468,0.52,205.7679746,0.003910089,0.001034962,3.778003376,"","",0.471739130434783,53.7533419876482
"77","A42-Q16-F+","1","42-1","Alsen","42","NO",23,0,0,0,0,4.01,NA,"Q16","YES","Q16","3",0,0,0,0,410,0.124331371,0.621656855,0.51,1.218935009,0,0.000560652,0,"yes","failed qPCR",0,24.37870018
"78","A42-Q16-F+","2","42-2","Alsen","42","NO",23,1,5,5,6,4.65,NA,"Q16","YES","Q16","3",4.34782608695652,21.7391304347826,21.7391304347826,26.0869565217391,30732,3.363226683,16.81613342,0.5,33.63226683,0.000695658,0.000598266,1.162789605,"","",0.197826086956522,27.7313284112457
"79","A42-Q16-F+","4","42-4","Alsen","42","NO",23,1,4,4,5,3.71,NA,"Q16","YES","Q16","3",4.34782608695652,17.3913043478261,17.3913043478261,21.7391304347826,19030,1.857467974,9.287339869,0.49,18.95375484,0.000923999,0.00129202,0.715158365,"","",0.160869565217391,24.771022192249
"80","A43-Y11-F+","1","43-1","Alsen","43","NO",20,1,5,12,16,1.68,NA,"Y11","YES","Y11","3",5,25,60,80,165519,10.69673641,53.48368204,0.49,109.1503715,0.004500442,0.001911718,2.354135251,"","",0.425,45.4010944078953
"81","A43-Y11-F+","2","43-2","Alsen","43","NO",23,1,5,10,10,3.34,NA,"Y11","YES","Y11","3",4.34782608695652,21.7391304347826,43.4782608695652,43.4782608695652,84925,5.097050865,25.48525432,0.5,50.97050865,0.001510952,0.00220053,0.686631141,"","",0.3,69.1940726003057
"82","A43-Y11-F+","3","43-3","Alsen","43","NO",20,1,5,10,15,1.67,NA,"Y11","YES","Y11","3",5,25,50,75,178427,11.43468225,57.17341126,0.49,116.6804311,0.002510824,0.001571846,1.597372685,"","",0.3825,70.8281933787193
"83","A43-Y11-F+","5","43-5","Alsen","43","NO",22,2,6,12,16,2.35,NA,"Y11","YES","Y11","3",9.09090909090909,27.2727272727273,54.5454545454545,72.7272727272727,149485,9.780078239,48.9003912,0.5,97.80078239,0.001199127,0.00069094,1.735499641,"","",0.409090909090909,54.7750221530288
"84","A45-Q22-F+","1","45-1","Alsen","45","NO",24,0,0,1,1,4.29,NA,"Q22","YES","Q22","3",0,0,4.16666666666667,4.16666666666667,941,0.205134708,1.025673542,0.52,1.972449118,0.000362603,0.001017056,0.356522162,"","at least two reps across 12 reps from 3 primer sets",0.0208333333333333,4.85200882602804
"85","A45-Q22-F+","2","45-2","Alsen","45","NO",23,0,0,1,1,3.42,NA,"Q22","YES","Q22","3",0,0,4.34782608695652,4.34782608695652,296,0.106983762,0.534918809,0.51,1.04886041,0,0.001037792,0,"yes","failed qPCR",0.0217391304347826,20.9772082
"86","A45-Q22-F+","4","45-4","Alsen","45","NO",24,0,0,1,2,4.62,NA,"Q22","YES","Q22","3",0,0,4.16666666666667,8.33333333333333,6288,0.834311705,4.171558526,0.52,8.022227935,0.000957758,0.001205881,0.794239048,"","",0.0270833333333333,9.50231803895429
"87","A45-Q22-F+","5","45-5","Alsen","45","NO",20,0,0,0,0,3.74,NA,"Q22","YES","Q22","3",0,0,0,0,322,0.110940234,0.55470117,0.48,1.155627438,0,0.002382655,0,"yes","failed qPCR",0,23.11254876
"88","A47-W14-F+","1","47-1","Alsen","47","NO",21,1,5,6,12,2.27,NA,"W14","YES","W14","3",4.76190476190476,23.8095238095238,28.5714285714286,57.1428571428571,145990,9.580270312,47.90135156,0.49,97.75786033,0.001442605,0.001805776,0.798883389,"","",0.276190476190476,115.160529227884
"89","A47-W14-F+","2","47-2","Alsen","47","NO",21,1,2,3,4,2.99,NA,"W14","YES","W14","3",4.76190476190476,9.52380952380952,14.2857142857143,19.047619047619,21126,1.960513209,9.802566043,0.52,18.85108854,0.000943027,0.00153773,0.613259407,"","at least two reps across 12 reps from 3 primer sets",0.119047619047619,28.4218939694586
"90","A47-W14-F+","4","47-4","Alsen","47","NO",20,0,1,1,1,2.75,NA,"W14","YES","W14","3",0,5,5,5,292,0.106375074,0.531875369,0.5,1.063750738,0,0.001324923,0,"yes","failed qPCR",0.0425,21.27501476
"91","A47-W14-F+","5","47-5","Alsen","47","NO",20,1,1,1,1,3.42,NA,"W14","YES","W14","3",5,5,5,5,15402,1.679105325,8.395526626,0.49,17.13372781,0.000734699,0.001036403,0.708893113,"","",0.05,22.5772609034074
