plantID,DON_ID,DON_area,forecast,x5,weight_g,ugDON_per_g
N34-Q22-F+ 1,N69,325242,15.40519196,77.0259598,0.52,148.1268458
N34-Q22-F+ 2,N70,261081,13.69878533,68.49392666,0.52,131.7190897
N34-Q22-F+ 4,N71,122608,8.022366452,40.11183226,0.52,77.13813897
N34-Q22-F+ 5,N72,405250,20.36198726,101.8099363,0.49,207.7753802
N37-W14-F+ 1,N73,130142,8.331207453,41.65603726,0.51,81.67850444
N37-W14-F+ 2,N74,277171,14.35836214,71.79181071,0.53,135.4562466
N37-W14-F+ 3,N75,159921,9.551936965,47.75968483,0.51,93.64644084
N37-W14-F+ 5,N76,261701,13.72420097,68.62100485,0.49,140.042867
N38-B-/-F- 2,N77,258,0.142495193,0.712475967,0.49,1.454032587
N38-B-/-F- 3,N78,0,0,0,0.5,0
N38-B-/-F- 4,N79,0,0,0,0.49,0
N38-B-/-F- 5,N80,0,0,0,0.49,0
N39-Y2-F+ 1,N81,188107,11.2136145,56.06807249,0.49,114.4246377
N39-Y2-F+ 2,N82,179169,10.75813323,53.79066615,0.5,107.5813323
N39-Y2-F+ 3,N83,94497,5.315036155,26.57518077,0.49,54.2350628
N39-Y2-F+ 4,N84,29293,2.579238989,12.89619494,0.48,26.8670728
N44-B-/-F+ 1,N85,93072,5.2527229,26.2636145,0.51,51.49728333
N44-B-/-F+ 2,N86,338650,15.99150503,79.95752515,0.48,166.5781774
N44-B-/-F+ 3,N87,198879,11.76255657,58.81278283,0.52,113.1015054
N44-B-/-F+ 5,N88,255352,13.46393663,67.31968317,0.51,131.9993788
N46-Q16-F+ 1,N89,242594,12.94094838,64.70474191,0.48,134.8015456
N46-Q16-F+ 2,N90,471642,21.807059,109.035295,0.49,222.5210102
N46-Q16-F+ 4,N91,498040,22.96140658,114.8070329,0.48,239.1813186
N46-Q16-F+ 5,N92,351219,16.5411298,82.70564901,0.5,165.411298
N48-Q22-F+ 1,N93,213549,11.75030771,58.75153853,0.5,117.5030771
N48-Q22-F+ 3,N94,578520,26.48068431,132.4034215,0.52,254.6219645
N48-Q22-F+ 4,N95,176345,10.61422194,53.07110971,0.48,110.5648119
N48-Q22-F+ 5,N96,501834,23.12731289,115.6365645,0.5,231.2731289
N50-Y11-F+ 1,N97,323344,15.32219508,76.61097539,0.47,163.0020753
N50-Y11-F+ 3,N98,56035,4.483213747,22.41606873,0.5,44.83213747
