"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"84" "17-4" "A17-Y11-F+" "Alsen" "17" "4" "NO" 20 1 5 10 16 1.32 NA
"85" "17-5" "A17-Y11-F+" "Alsen" "17" "5" "NO" 23 2 5 14 17 1.73 NA
"86" "18-1" "A18-Y2-F+" "Alsen" "18" "1" "NO" 19 0 0 0 1 1.95 NA
"87" "18-2" "A18-Y2-F+" "Alsen" "18" "2" "NO" 21 1 1 1 1 3.47 NA
"88" "18-3" "A18-Y2-F+" "Alsen" "18" "3" "YES" NA NA NA NA NA NA NA
"89" "18-4" "A18-Y2-F+" "Alsen" "18" "4" "NO" 20 1 1 1 1 3.09 NA
"90" "18-5" "A18-Y2-F+" "Alsen" "18" "5" "NO" 20 1 4 6 5 2.78 NA
"91" "19-1" "N19-Y2-F+" "Norm" "19" "1" "NO" 19 5 11 15 19 1.52 NA
"92" "19-2" "N19-Y2-F+" "Norm" "19" "2" "NO" 19 10 12 19 19 0.92 NA
"93" "19-3" "N19-Y2-F+" "Norm" "19" "3" "YES" NA NA NA NA NA NA NA
"94" "19-4" "N19-Y2-F+" "Norm" "19" "4" "NO" 20 5 9 12 15 3.75 NA
"95" "19-5" "N19-Y2-F+" "Norm" "19" "5" "NO" 20 5 11 15 20 1.71 NA
"96" "20-1" "N20-A30-F+" "Norm" "20" "1" "NO" 19 9 12 18 19 1.3 NA
"97" "20-2" "N20-A30-F+" "Norm" "20" "2" "YES" NA NA NA NA NA NA NA
"98" "20-3" "N20-A30-F+" "Norm" "20" "3" "NO" 18 9 11 15 18 1.65 NA
"99" "20-4" "N20-A30-F+" "Norm" "20" "4" "NO" 18 6 11 14 18 1.59 NA
"100" "20-5" "N20-A30-F+" "Norm" "20" "5" "NO" 19 7 12 16 19 1.96 NA
"101" "21-1" "A21-A30-F+" "Alsen" "21" "1" "NO" 21 1 3 4 6 3.67 NA
"102" "21-2" "A21-A30-F+" "Alsen" "21" "2" "NO" 23 1 1 1 1 4.2 NA
"103" "21-3" "A21-A30-F+" "Alsen" "21" "3" "NO" 19 1 4 12 14 1.55 NA
"104" "21-4" "A21-A30-F+" "Alsen" "21" "4" "NO" 21 1 2 3 3 3.3 NA
"105" "21-5" "A21-A30-F+" "Alsen" "21" "5" "YES" NA NA NA NA NA NA NA
"106" "22-1" "N22-B-/-F-" "Norm" "22" "1" "NO" 21 0 0 0 0 5.52 NA
"107" "22-2" "N22-B-/-F-" "Norm" "22" "2" "NO" 23 0 0 0 0 6.15 NA
"108" "22-3" "N22-B-/-F-" "Norm" "22" "3" "NO" 21 0 0 0 0 5.45 NA
"109" "22-4" "N22-B-/-F-" "Norm" "22" "4" "YES" NA NA NA NA NA NA NA
"110" "22-5" "N22-B-/-F-" "Norm" "22" "5" "NO" 21 0 0 0 0 4.03 NA
"111" "23-1" "N23-Q16-F+" "Norm" "23" "1" "NO" 19 4 11 15 19 1.86 NA
"112" "23-2" "N23-Q16-F+" "Norm" "23" "2" "NO" 18 5 11 18 18 1.18 NA
"113" "23-3" "N23-Q16-F+" "Norm" "23" "3" "YES" NA NA NA NA NA NA NA
"114" "23-4" "N23-Q16-F+" "Norm" "23" "4" "NO" 19 4 11 15 19 1.63 NA
"115" "23-5" "N23-Q16-F+" "Norm" "23" "5" "NO" 17 4 5 10 10 2.93 NA
"116" "24-1" "A24-B-/-F-" "Alsen" "24" "1" "NO" 21 1 0 1 1 2.88 NA
"117" "24-2" "A24-B-/-F-" "Alsen" "24" "2" "YES" NA NA NA NA NA NA NA
"118" "24-3" "A24-B-/-F-" "Alsen" "24" "3" "NO" 20 0 0 0 0 2.86 NA
"119" "24-4" "A24-B-/-F-" "Alsen" "24" "4" "NO" 21 0 0 0 0 3.14 NA
"120" "24-5" "A24-B-/-F-" "Alsen" "24" "5" "NO" 23 0 0 0 0 3.18 NA
"121" "25-1" "N25-W14-F+" "Norm" "25" "1" "NO" 20 1 4 9 16 1.71 NA
"122" "25-2" "N25-W14-F+" "Norm" "25" "2" "NO" 20 8 11 17 20 1.96 NA
"123" "25-3" "N25-W14-F+" "Norm" "25" "3" "NO" 21 5 7 15 19 2.18 NA
"124" "25-4" "N25-W14-F+" "Norm" "25" "4" "YES" NA NA NA NA NA NA NA
"125" "25-5" "N25-W14-F+" "Norm" "25" "5" "NO" 19 9 13 17 19 1.64 NA
"126" "26-1" "A26-Y11-F+" "Alsen" "26" "1" "NO" 19 1 5 6 6 2.68 NA
"127" "26-2" "A26-Y11-F+" "Alsen" "26" "2" "NO" 21 1 2 2 4 3.8 NA
"128" "26-3" "A26-Y11-F+" "Alsen" "26" "3" "NO" 22 1 1 1 2 4.37 NA
"129" "26-4" "A26-Y11-F+" "Alsen" "26" "4" "YES" NA NA NA NA NA NA NA
"130" "26-5" "A26-Y11-F+" "Alsen" "26" "5" "NO" 22 1 6 6 7 2.78 NA
"131" "27-1" "A27-Q16-F+" "Alsen" "27" "1" "YES" NA NA NA NA NA NA NA
"132" "27-2" "A27-Q16-F+" "Alsen" "27" "2" "NO" 21 1 1 1 1 3.11 NA
"133" "27-3" "A27-Q16-F+" "Alsen" "27" "3" "NO" 24 1 3 8 9 4.01 NA
"134" "27-4" "A27-Q16-F+" "Alsen" "27" "4" "NO" 23 1 1 1 1 4.38 NA
"135" "27-5" "A27-Q16-F+" "Alsen" "27" "5" "NO" 23 3 6 9 10 3.37 NA
"136" "28-1" "A28-Y2-F+" "Alsen" "28" "1" "NO" 17 1 2 3 3 2.84 NA
"137" "28-2" "A28-Y2-F+" "Alsen" "28" "2" "NO" 21 1 3 4 5 2.99 NA
"138" "28-3" "A28-Y2-F+" "Alsen" "28" "3" "NO" 20 0 1 3 2 2.96 NA
"139" "28-4" "A28-Y2-F+" "Alsen" "28" "4" "NO" 18 2 4 5 5 2.31 NA
"140" "28-5" "A28-Y2-F+" "Alsen" "28" "5" "YES" NA NA NA NA NA NA NA
"141" "29-1" "N29-B-/-F+" "Norm" "29" "1" "NO" 20 5 12 15 20 1.87 NA
"142" "29-2" "N29-B-/-F+" "Norm" "29" "2" "NO" 20 5 12 14 18 2.36 NA
"143" "29-3" "N29-B-/-F+" "Norm" "29" "3" "NO" 21 9 12 16 19 2.51 NA
"144" "29-4" "N29-B-/-F+" "Norm" "29" "4" "YES" NA NA NA NA NA NA NA
"145" "29-5" "N29-B-/-F+" "Norm" "29" "5" "NO" 19 5 11 15 19 1.41 NA
"146" "30-1" "N30-Y11-F+" "Norm" "30" "1" "YES" NA NA NA NA NA NA NA
